ID_Village,Villages,Chefferie,Entreprise,Population,Nb_Menage,Chef,Groupement,Lat,Longi
L-JKIS,JEAN KISIMBA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6116118,27.3622497
L-KAF,KAFUNDA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5563216,27.2618256
L-KAJ,KAJAMA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6513364,27.2891122
L-KAS,KASOMBO,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6798653,27.3045748
L-KAT,KATANGA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6191767,27.2935292
L-KIB,KIBUNDUKA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5829938,27.3473746
L-KIP,KIPOPO,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5485927,27.3297298
L-KIT,KITANFYA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6270253,27.2933963
L-KWA,KWAMPISHA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5724193,27.2969488
L-LUF,LUFALANGA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6844176,27.3006100
L-LUP,LUPOTO RAIL,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5841354,27.2319860
L-MUK,MUKOMA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6472492,27.3182316
L-MUK,MUKWATO,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6809818,27.2990761
L-NGO,NGONGA,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6046065,27.3521980
L-SEL,SELEYI,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.5943270,27.3057998
L-TIM,TIMOTHE,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6079001,27.3030877
L-YOA,YOANO,Kaponda,SOMIKA-LUPOTO,,,,Inakiluba,-11.6282614,27.3316605
L-ZAK,ZAKEO,Inakiluba,SOMIKA-LUPOTO,,,,Inakiluba,-11.5919029,27.3009907
K-MUT,MUTWAMINA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.1380299,27.8455826
K-MUS,MUSOYA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.1286839,27.8655490
K-MAB,MABAYA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.1626737,27.7752294
K-KIM,KIMPE,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.0223123,27.8933260
K-KAW,KAWAMA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.0980113,27.8604903
K-KAM,KAMAKANGA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.0739974,27.8583572
K-KAP,KAPAPA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.0886572,27.7972850
K-KIF,KIFUMPA,Balamba,SOMIKA-KIMPE,,,,Kombo,-12.1474920,27.8164977
KI-BWA,BWASALANGANA,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.7659002,25.9533823
KI-MUM,MUMBA,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.7631427,25.9418845
KI-MIB,MIBANZE,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.8236924,25.8652081
KI-DIK,DIKANDA,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.8229018,25.8950049
KI-KAW,KAWALA,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.8205009,25.9211529
KI-KAW2,KAWALA-MUSOMBO,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.8368656,25.9414425
KI-KWM,KAWAMA,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.7537023,25.8725627
KI-KWM2,KAWAMA 2,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.7331187,25.9031036
KI-KISv,KISANFU VILLAGE,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.6986502,25.9253377
KI-KISg,KISANFU GAR,Bayeke,KISANFU MINING,,,,Nguba/Koni,-10.6869514,25.9336373
